sourceKey,language,type,legacyId,titleOfficial,officialUrl,listingUrl,officialDateRaw,officialDateNormalized,officialDatePrecision,detailStatus,detailClassification,detailFinalUrl,detailError,projectMatchCount,projectMatchMethod,projectMatchedLegacyIds,officialCounterpartLegacyId,projectIds,projectSlugs,projectCategories,projectDates,comparison
en:1737,en,news,1737,"Después de cuatro años, Monex compra participación restante en Arrendadora Avance",https://www.vonwobeser.com/index.php/publication?p_id=1737,https://www.vonwobeser.com/index.php/publications/news?start=130,"May, 2022",2022-05,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1737,,1,legacy_id,1737,,cb08df04-f794-4b56-9675-685a63f6cc9f,despues-de-cuatro-anos-monex-compra-participacion-restante-en-arrendadora-avance,news,,project_date_missing
en:1736,en,news,1736,"Con sus recientes adquisiciones, Clayton, Dubilier & Rice se convierte en el fabricante de etiquetas más grande del mundo",https://www.vonwobeser.com/index.php/publication?p_id=1736,https://www.vonwobeser.com/index.php/publications/news?start=130,"May, 2022",2022-05,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1736,,1,legacy_id,1736,,483cf0b2-8687-4218-a268-239492c5b7bb,con-sus-recientes-adquisiciones-clayton-dubilier-rice-se-convierte-en-el-fabrica,news,,project_date_missing
en:1734,en,news,1734,Criterios ESG en los arbitrajes: ¿Cómo funcionan los Dispute Boards?,https://www.vonwobeser.com/index.php/publication?p_id=1734,https://www.vonwobeser.com/index.php/publications/news?start=130,"May, 2022",2022-05,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1734,,1,legacy_id,1734,,0df946e4-9956-4b77-8add-4f56785955dd,criterios-esg-en-los-arbitrajes-como-funcionan-los-dispute-boards,news,,project_date_missing
en:1732,en,news,1732,US private equity group buys Mexican label maker assets,https://www.vonwobeser.com/index.php/publication?p_id=1732,https://www.vonwobeser.com/index.php/publications/news?start=130,"April, 2022",2022-04,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1732,,1,legacy_id,1732,,c8116b93-5211-4036-81aa-6dfa7d6468dd,us-private-equity-group-buys-mexican-label-maker-assets,news,,project_date_missing
en:1730,en,news,1730,"Limitarían, aún más, a generadores de IP",https://www.vonwobeser.com/index.php/publication?p_id=1730,https://www.vonwobeser.com/index.php/publications/news?start=130,"May, 2022",2022-05,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1730,,1,legacy_id,1730,,84b9526e-ce20-45cb-b3e9-3ecc14da6686,limitarian-aun-mas-a-generadores-de-ip,news,,project_date_missing
en:1728,en,news,1728,Tienen empresas opciones de suministro eléctrico barato,https://www.vonwobeser.com/index.php/publication?p_id=1728,https://www.vonwobeser.com/index.php/publications/news?start=130,"April, 2022",2022-04,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1728,,1,legacy_id,1728,,166b61a9-817a-41e8-beb1-0c6edcbf582d,tienen-empresas-opciones-de-suministro-electrico-barato,news,,project_date_missing
en:1722,en,news,1722,New rules impacting the operation of companies with IMMEX and PROSEC programs,https://www.vonwobeser.com/index.php/publication?p_id=1722,https://www.vonwobeser.com/index.php/publications/news?start=130,"May, 2022",2022-05,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1722,,1,legacy_id,1722,,68c4f01e-cec1-4d9a-b6a2-666fa2dff127,new-rules-impacting-the-operation-of-companies-with-immex-and-prosec-programs,news,,project_date_missing
en:1721,en,news,1721,"Von Wobeser y Sierra, S.C. - WWL 2022 Mexico Report",https://www.vonwobeser.com/index.php/publication?p_id=1721,https://www.vonwobeser.com/index.php/publications/news?start=130,"May, 2022",2022-05,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1721,,1,legacy_id,1721,,ddbdbad6-c7e9-4bb9-9026-94ac0933c9a8,von-wobeser-y-sierra-s-c-wwl-2022-mexico-report,news,,project_date_missing
en:1719,en,news,1719,Long term restriction for public officers to work in private sector declared unconstitutional,https://www.vonwobeser.com/index.php/publication?p_id=1719,https://www.vonwobeser.com/index.php/publications/news?start=130,"April, 2022",2022-04,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1719,,1,legacy_id,1719,,8f9f9ee1-cbcc-409d-8828-5e7d2b8e8811,long-term-restriction-for-public-officers-to-work-in-private-sector-declared-unc,news,,project_date_missing
en:1101,en,news,1101,General Transparency and Healthy Practices Provisions issued by the CONDUSEF applicable to the FTI,https://www.vonwobeser.com/index.php/publication?p_id=1101,https://www.vonwobeser.com/index.php/publications/news?start=390,"July, 2019",2019-07,month,200,correcto,https://www.vonwobeser.com/index.php/publication?p_id=1101,,1,legacy_id,1101,,61a39dc7-5cfc-4a16-82b0-441bf9c11374,general-transparency-and-healthy-practices-provisions-issued-by-the-condusef-app,news,,project_date_missing
