owner,source,kind,language,url,status,classification,finalUrl,redirected,mime,error
e97d4b5c-a943-491e-b91a-81937feca1ca:es,project-public,public-content-link,es,http://localhost:5050/images/PDF_news/2021/21_12_10_AUTONOMIA_ENERGETICA_ESG_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/21_12_10_AUTONOMIA_ENERGETICA_ESG_ESP.pdf,false,application/pdf,
e97d4b5c-a943-491e-b91a-81937feca1ca:en,project-public,public-content-link,en,http://localhost:5050/images/PDF_news/2021/21_12_10_AUTONOMIA_ENERGETICA_ESG_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/21_12_10_AUTONOMIA_ENERGETICA_ESG_ESP.pdf,false,application/pdf,
14ed5556-4fdd-4da0-a134-93bb0fb73d5f:es,project-public,public-content-link,es,http://localhost:5050/images/PDF_news/2021/21_12_02_MLRR_ESG_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/21_12_02_MLRR_ESG_ESP.pdf,false,application/pdf,
14ed5556-4fdd-4da0-a134-93bb0fb73d5f:en,project-public,public-content-link,en,http://localhost:5050/images/PDF_news/2021/21_12_02_MLRR_ESG_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/21_12_02_MLRR_ESG_ESP.pdf,false,application/pdf,
2487d778-9d5b-4894-8561-989e8b7d8a88:es,project-public,public-content-link,es,http://localhost:5050/images/PDF_news/2021/21_11_25_SUMINISTRO_ESG_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/21_11_25_SUMINISTRO_ESG_ESP.pdf,false,application/pdf,
2487d778-9d5b-4894-8561-989e8b7d8a88:en,project-public,public-content-link,en,http://localhost:5050/images/PDF_news/2021/21_11_25_SUMINISTRO_ESG_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/21_11_25_SUMINISTRO_ESG_ESP.pdf,false,application/pdf,
37a69116-aad6-4f9c-bafc-e2b4d4fcd0a3:es,project-public,public-content-link,es,http://localhost:5050/images/PDF_news/2021/21_11_17_PRIVACIDAD_ESG_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/21_11_17_PRIVACIDAD_ESG_ESP.pdf,false,application/pdf,
37a69116-aad6-4f9c-bafc-e2b4d4fcd0a3:en,project-public,public-content-link,en,http://localhost:5050/images/PDF_news/2021/21_11_17_PRIVACIDAD_ESG_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/21_11_17_PRIVACIDAD_ESG_ESP.pdf,false,application/pdf,
391be58b-9ce9-4205-8c73-44d3a7893e18:es,project-public,public-source-cta,es,https://www.vonwobeser.com/images/PDF_news/2021/21_11_12_ARBITRAJE_ESG_ING.pdf,206,correcto,https://www.vonwobeser.com/images/PDF_news/2021/21_11_12_ARBITRAJE_ESG_ING.pdf,false,application/pdf,
391be58b-9ce9-4205-8c73-44d3a7893e18:es,project-public,public-content-link,es,http://localhost:5050/images/PDF_news/2021/21_11_12_ARBITRAJE_ESG_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/21_11_12_ARBITRAJE_ESG_ESP.pdf,false,application/pdf,
